,description,id,location,name,price,seller,strikethrough-price,url
718,"DAWGS Women's Kaymann Smoking Slipper features fun and funky colors and patterns, perfect for any occasion and outfit. The padded leather insole pr...",169114,,Kaymann Women's Smoking Slipper,$12.99,,$39.99,https://www.livingsocial.com/products/us/tag/fashion/169114-kaymann-women-s-smoking-slipper?pos=718
719,"Do you find yourself searching for your keys, phone, wallet or other essentials that seem to always get lost in your purse? This see-through purse ...",169284,,See-Through Purse Organizer,$9.99,,$29.99,https://www.livingsocial.com/products/us/tag/fashion/169284-see-through-purse-organizer?pos=719
720,This convenient gym outfit will allow your body to achieve maximum detoxification by maximizing your sweat during workouts without making your swea...,165107,,Anti-Cellulite Slimming Belt,$9.99,,$39.99,https://www.livingsocial.com/products/us/tag/health/165107-anti-cellulite-slimming-belt?pos=720
721,"Grab these bath mats and never worry about sliding across your tile floor again! Enjoy your shower and beyond when you step on one of these mats.

...",165101,,2-Pack: Ultra-Plush Polka Dot Memory Foam Non-Slip Bath Mats,$11.99,,$40,https://www.livingsocial.com/products/us/tag/home-goods/165101-2-pack-ultra-plush-polka-dot-memory-foam-non-slip-bath-mats?pos=721
722,"The PCH Plus Digital Pulse Massager Shoe Combo Set is a dual-channel, battery operated muscle stimulation system that helps to relieve minor muscle...",165121,,PCH Plus Digital Pulse Massager Shoe Combo Set - 3 Colors,$49.99,,$599,https://www.livingsocial.com/products/us/tag/health/165121-pch-plus-digital-pulse-massager-shoe-combo-set-3-colors?pos=722
723,"
Crafted in 18Kt White Gold Over Brass
Micropave Cubic Zirconia Stones
AAA Quality Stones
Available in sizes 6, 7, 8 and 9
Dimensions: .8"" x .4

",168894,,Simulated Diamond Infinity Band In 18K White Gold,$14.99,,$99.99,https://www.livingsocial.com/products/us/tag/fashion/168894-simulated-diamond-infinity-band-in-18k-white-gold?pos=723
724,"With ten Swarovski Element stones in a high-polish .925 sterling silver setting, this beautiful ring is both rich and romantic. And with its open c...",168874,,Sterling Silver Filigree Heart Ring with Swarovski Elements,$9.99,,$99.99,https://www.livingsocial.com/products/us/tag/fashion/168874-sterling-silver-filigree-heart-ring-with-swarovski-elements?pos=724
725,"Don’t miss a moment with this stylish wrap watch. With a faux leather band that features playful pearls and crown charms, it’s easy to wrap and fun...",168854,,Crown and Pearl Wrist Wrap Watch - 10 Colors,$9.99,,$39.99,https://www.livingsocial.com/products/us/tag/fashion/168854-crown-and-pearl-wrist-wrap-watch-10-colors?pos=725
726,This amazing nano drone has dual control modes: it can be controlled with the included physical remote controller or via WiFi with a smartphone (iO...,168784,,WiFi Controlled Mini Drone Quadcopter,$54.99,,$99.99,https://www.livingsocial.com/products/us/tag/electronics/168784-wifi-controlled-mini-drone-quadcopter?pos=726
727,Wrap a little piece of heaven around your wrist with this watch. Bedazzled wings help make time fly as you keep track of the passing hours througho...,165914,,Women's Watch with Angel Wing Charm - Assorted Colors,$9.99,,$39.99,https://www.livingsocial.com/products/us/tag/fashion/165914-women-s-watch-with-angel-wing-charm-assorted-colors?pos=727
728,"What better way to relax, than pouring yourself a glass of wine and sitting in a warm bath. This portable wine holder is so convenient, you can kee...",165554,,Universal Modern Wine Glass Holder,$9.99,,$29.99,https://www.livingsocial.com/products/us/tag/home-goods/165554-universal-modern-wine-glass-holder?pos=728
729,"Keep it all together with this decorative Letters In wall mount. Not only is this piece stylish, its much better than leaving your bills and mail o...",165534,,Vintage Inbox and Key Holder - 3 Colors,$19.99,,$69.98,https://www.livingsocial.com/products/us/tag/home-goods/165534-vintage-inbox-and-key-holder-3-colors?pos=729
730,The 18K Gold Valentines Heart Necklace with Swarovski Elements makes a gorgeous Valentine's day gift! It's made of 18K Gold Plated Brass. Show how ...,167024,,Twin Valentine Necklace with Blue Swarovski Elements,$9.99,,$149.99,https://www.livingsocial.com/products/us/tag/fashion/167024-twin-valentine-necklace-with-blue-swarovski-elements?pos=730
731,Our new Cubic Zirconia Crystal Rings are perfect for anyone and are great for all occasions! Each ring is available in 3 colors and available in 4 ...,166854,,Cubic Zirconia Crystal CZ Rings - 3 Colors,$9.99,,$29.99,https://www.livingsocial.com/products/us/tag/fashion/166854-cubic-zirconia-crystal-cz-rings-3-colors?pos=731
732,"Get this beautiful chain necklace, perfect to match with your everyday wear.


18-Karat Gold Plated
Brass Metal
18inch length
Cable Chain
You will ...",166834,,2 Pack - 18kt Gold Plated Cable Chain,$9.99,,$49.99,https://www.livingsocial.com/products/us/tag/fashion/166834-2-pack-18kt-gold-plated-cable-chain?pos=732
733,"The Burnout process (otherwise known as Devoré) is an expensive technique in which a design is dissolved from a high quality fabric blend, leaving ...",167974,,Set of 2: Elegant Sheer Burnout Curtains,$19.99,,$99.99,https://www.livingsocial.com/products/us/tag/home-goods/167974-set-of-2-elegant-sheer-burnout-curtains?pos=733
734,"Style


Wrap-around design for coverage at every angle
Elegant, flowing ruffles
Neutral, rustic, and earthy hues
Elastic band for a snug, customize...",167824,,Waldorf Wrap Around Elastic Bed Ruffle Bedskirts - 6 Colors,$19.99,,$99.99,https://www.livingsocial.com/products/us/tag/home-goods/167824-waldorf-wrap-around-elastic-bed-ruffle-bedskirts-6-colors?pos=734
735,"Spoil yourself or someone you know with these beautiful and irresistible earrings, perfect for any occasion and sure to get a lot of attention. No ...",167644,,Ultimate 10 Pair Sterling Silver + CZ Earring Collection,$29.99,,$299.95,https://www.livingsocial.com/products/us/tag/fashion/167644-ultimate-10-pair-sterling-silver-cz-earring-collection?pos=735
736,"I think I'll roll the dice.  Who doesn't want super powers!?  Grab this super soft t-shirt for the super nerd in your life...unless that's you, the...",167484,,Screw Lab Safety I Want Super Powers T-Shirt,$13.99,,$26.99,https://www.livingsocial.com/products/us/tag/fashion/167484-screw-lab-safety-i-want-super-powers-t-shirt?pos=736
737,"Spread some love! Get this beautiful heart shaped personalized necklace, perfect for any occasion and gifting to your loved ones.


18-Karat Gold P...",167194,,Heart Shaped Personalized Necklace - 3 Colors,$13.99,,$99,https://www.livingsocial.com/products/us/tag/fashion/167194-heart-shaped-personalized-necklace-3-colors?pos=737
738,"Add a touch of elegance with these White Gold Crystal Hoop Earrings


18K White gold plated
Crystal stones

",167154,,White Gold Crystal Hoop Earrings,$12.99,,$129.99,https://www.livingsocial.com/products/us/tag/fashion/167154-white-gold-crystal-hoop-earrings?pos=738
739,"DAWGS Women's Kaymann Smoking Slipper features fun and funky colors and patterns, perfect for any occasion and outfit. The padded leather insole pr...",169114,,Kaymann Women's Smoking Slipper,$12.99,,$39.99,https://www.livingsocial.com/products/us/tag/fashion/169114-kaymann-women-s-smoking-slipper?pos=739
740,"Whether it's a strand necklace or stud earrings, pearls are always a perfect accent to any look.  This elegant set features a simple and modern des...",168724,,Sterling Silver Freshwater Pearl Necklace and Earring Set,$14.99,,$119.99,https://www.livingsocial.com/products/us/tag/fashion/168724-sterling-silver-freshwater-pearl-necklace-and-earring-set?pos=740
741,"Add some colors and sparkle to your life with these beautiful Genuine Gemstone Stud Earrings


Sterling silver rhodium plated
5mm round cut genuine...",161587,,Genuine Gemstone Stud Earrings in Sterling Silver - 10 Colors,$9.99,,$124.99,https://www.livingsocial.com/products/us/tag/fashion/161587-genuine-gemstone-stud-earrings-in-sterling-silver-10-colors?pos=741
742,"Get this Clipless Curling Iron and give your hair the body and volume you’ve always wanted.


Ceramic and diamond infused barrel.
An advanced ceram...",161507,,Clipless Curling Iron -  4 Colors & Sizes,$34.99,,$300,https://www.livingsocial.com/products/us/tag/beauty/161507-clipless-curling-iron-4-colors-sizes?pos=742
743,"Get 100% chrome flat irons with diamond-infused plates that can achieve a variety of styles in minutes. From Sexy and curled to perfectly straight,...",161491,,Neon 1.25 Chrome Flat Iron - 5 Colors,$31.99,,$199,https://www.livingsocial.com/products/us/tag/beauty/161491-neon-1-25-chrome-flat-iron-5-colors?pos=743
744,This 4-Piece Set: Super-Soft 1800 Series Bamboo Fiber Bed Sheets continue to attract customers seeking the best in naturally luxurious linens. Bamb...,165720,,4-Piece Set: Super-Soft 1800 Series Bamboo Fiber Bed Sheets -Various Colors,$29.99,,$129.99,https://www.livingsocial.com/products/us/tag/home-goods/165720-4-piece-set-super-soft-1800-series-bamboo-fiber-bed-sheets-various-colors?pos=744
745,"No more awkward charges!

With this extra-long cable, you’ll finally be able to stop running back and forth between your charger and your bed, couc...",159473,,"10-Foot Apple-Certified Lightning Cable for iPhone, 1, 2, or 3-Pack",$9.99,,$40,https://www.livingsocial.com/products/us/tag/electronics/159473-10-foot-apple-certified-lightning-cable-for-iphone-1-2-or-3-pack?pos=745
746,The Tag Along is a clip-on solar charger that stores power in a Li-Polymer battery for when you need it most. It continually charges the battery wh...,115930,,Clip-on Solar Charger For Your Smartphone,$19.99,,$70,https://www.livingsocial.com/products/us/tag/electronics/115930-clip-on-solar-charger-for-your-smartphone?pos=746
747,"Every minute counts, so why not measure your every move with the Nike+ Fuelband SE. No matter your age or size, this sleek tracker stores informati...",160169,,Refurbished Nike Fuelband SE Plus Health Fitness Tracker Bluetooth,$39.99,,$149,https://www.livingsocial.com/products/us/tag/health/160169-refurbished-nike-fuelband-se-plus-health-fitness-tracker-bluetooth?pos=747
748,Each Naked Sterling Silver Drop Earring holds a 2 carat round naked Swarovski element crystal. These gorgeous earrings are perfect for everyday wea...,153099,,Naked Swarovski Drill Sterling Silver Drop Earrings,$14.99,,$120,https://www.livingsocial.com/products/us/tag/fashion/153099-naked-swarovski-drill-sterling-silver-drop-earrings?pos=748
749,"Save up to $1000 every year with the nation’s first 100% FREE mobile phone service with free voice, text, and data. With no contracts or cancellati...",169340,,iPhone 6 for FreedomPop or Unlocked GSM/CDMA Carriers,$439.99,,$799.99,https://www.livingsocial.com/products/us/tag/electronics/169340-iphone-6-for-freedompop-or-unlocked-gsm-cdma-carriers?pos=749
750,"This super comfy top comes in 4 colors and it features cut-out straps that goes from the neckline to the back, and has an over-sized design. Wear i...",121430,,"""Cut Loose"" Long Sleeve Shirt",$19.99,,$72,https://www.livingsocial.com/products/us/tag/fashion/121430-cut-loose-long-sleeve-shirt?pos=750
751,You never need to worry about any power surge with its built in surge protection. It also has all the world wide combination of plugs that are need...,115916,,Worldwide Power Adapter and Travel Charger with Dual USB,$14.99,,$70,https://www.livingsocial.com/products/us/tag/electronics/115916-worldwide-power-adapter-and-travel-charger-with-dual-usb?pos=751
752,Skip the line at the spa and address aches when you utilize this cutting-edge TENS Electronic Pulse Massager. Simply apply adhesive to your problem...,166370,,8- or 16-Mode TENS Electronic Pulse Massager,$26.99,,$249,https://www.livingsocial.com/products/us/tag/health/166370-8-or-16-mode-tens-electronic-pulse-massager?pos=752
753,"With our 4-in-1 Derma Roller you can look 10, 15, even 20 years younger in weeks!
Our derma roller set is designed to combat skin imperfections.It ...",161579,,Anti Wrinkle & Cellulite 4 in 1 Derma Roller Set with Travel Case,$24.99,,$99.95,https://www.livingsocial.com/products/us/tag/beauty/161579-anti-wrinkle-cellulite-4-in-1-derma-roller-set-with-travel-case?pos=753
754,StriVectin Eye Concentrate is now formulated with StriVectin's proprietary complex of 7.5% (NIA-114+ Peptide) Actives to improve the appearance of ...,160329,,StriVectin™-SD Eye Concentrate for Wrinkles 1oz,$32.99,,$65,https://www.livingsocial.com/products/us/tag/beauty/160329-strivectin-sd-eye-concentrate-for-wrinkles-1oz?pos=754
755,"Add length and volume to your hair with this 7-piece set of hair extensions. Each extension is thick from top to bottom, comfortable to wear and ea...",160293,,"7-Piece Set of 22"" Hair Extensions",$19.99,,$150,https://www.livingsocial.com/products/us/tag/beauty/160293-7-piece-set-of-22-hair-extensions?pos=755
756,"Wrap yourself up with this classic blanket on chilly nights and unwind, you'll love how the silky, short-pile faux fur feels on your skin. 


Avail...",159213,,Luxe Collection Micro Mink Fur Blanket - 4 Colors,$39.99,,$255,https://www.livingsocial.com/products/us/tag/home-goods/159213-luxe-collection-micro-mink-fur-blanket-4-colors?pos=756
757,"3D screen enlarger and viewer for your smartphone. Make your smartphone screen 3 times larger when watching pictures, videos or movies of your choi...",150249,,Portable Wireless Smart Phone Screen Enlarger - 2 Colors,$12.99,,$50,https://www.livingsocial.com/products/us/tag/electronics/150249-portable-wireless-smart-phone-screen-enlarger-2-colors?pos=757
758,"""The love between a mother and daughter knows no distance""


A modern yet elegant gift from a mother to daughter or daughter to mother, this cuff w...",147973,,"Engraved ""The Love Between A Mother and Daughter..."" Silver Cuff Bracelet",$13.99,,$99,https://www.livingsocial.com/products/us/tag/fashion/147973-engraved-the-love-between-a-mother-and-daughter-silver-cuff-bracelet?pos=758
759,"Here’s the perfect spring top: bright, loose and fun! Perfect for layering, one size fits most (the top is 27.5 inches at its longest point).
",133570,,Wide Stripe Batwing Chiffon Tunic,$21.99,,$39.95,https://www.livingsocial.com/products/us/tag/fashion/133570-wide-stripe-batwing-chiffon-tunic?pos=759
760,"Add length and volume to your hair with this 7-piece set of hair extensions. Each extension is thick from top to bottom, comfortable to wear and ea...",160293,,"7-Piece Set of 22"" Hair Extensions",$19.99,,$150,https://www.livingsocial.com/products/us/tag/beauty/160293-7-piece-set-of-22-hair-extensions?pos=760
761,"Wrap yourself up with this classic blanket on chilly nights and unwind, you'll love how the silky, short-pile faux fur feels on your skin. 


Avail...",159213,,Luxe Collection Micro Mink Fur Blanket - 4 Colors,$39.99,,$255,https://www.livingsocial.com/products/us/tag/home-goods/159213-luxe-collection-micro-mink-fur-blanket-4-colors?pos=761
762,"3D screen enlarger and viewer for your smartphone. Make your smartphone screen 3 times larger when watching pictures, videos or movies of your choi...",150249,,Portable Wireless Smart Phone Screen Enlarger - 2 Colors,$12.99,,$50,https://www.livingsocial.com/products/us/tag/electronics/150249-portable-wireless-smart-phone-screen-enlarger-2-colors?pos=762
763,"""The love between a mother and daughter knows no distance""


A modern yet elegant gift from a mother to daughter or daughter to mother, this cuff w...",147973,,"Engraved ""The Love Between A Mother and Daughter..."" Silver Cuff Bracelet",$13.99,,$99,https://www.livingsocial.com/products/us/tag/fashion/147973-engraved-the-love-between-a-mother-and-daughter-silver-cuff-bracelet?pos=763
764,"Here’s the perfect spring top: bright, loose and fun! Perfect for layering, one size fits most (the top is 27.5 inches at its longest point).
",133570,,Wide Stripe Batwing Chiffon Tunic,$21.99,,$39.95,https://www.livingsocial.com/products/us/tag/fashion/133570-wide-stripe-batwing-chiffon-tunic?pos=764
765,"With ultrasonic technology, Arospa VIVID breaks up the essential oil and water into mist of micro-particles of 5μm and releases the active ingredie...",125546,,Vivid Aromatherapy Ultrasonic Diffuser / Humidifier / Purifier  - 3 Colors,$59.99,,$199,https://www.livingsocial.com/products/us/tag/home-goods/125546-vivid-aromatherapy-ultrasonic-diffuser-humidifier-purifier-3-colors?pos=765
766,Enjoy a cool and comfortable night’s sleep with exceptionally breathable sheets that have a silky soft feel and a lustrous finish. The Mirabelle ba...,168916,,Get Lucky Bamboo Sheets - Various Colors,$44.99,,$189,https://www.livingsocial.com/products/us/tag/home-goods/168916-get-lucky-bamboo-sheets-various-colors?pos=766
767,"Get the skin you’ve always wanted with this powerful at home microdermabrasion scrub.

Are you tired of spending hundreds of dollars on dermatologi...",167416,,Microdermabrasion Scrub by Candid Essentials,$23.99,,$89.99,https://www.livingsocial.com/products/us/tag/beauty/167416-microdermabrasion-scrub-by-candid-essentials?pos=767
768,"Treat yourself to a watch that has more functionality than a robot riding a larger robot -- in that analogy, both robots can perform a slew of task...",165546,,Bluetooth 3.0 Smart Watch with 2MP Camera & Pedometer,$44.99,,$149.99,https://www.livingsocial.com/products/us/tag/fashion/165546-bluetooth-3-0-smart-watch-with-2mp-camera-pedometer?pos=768
769,3100mAh Li-polymer battery that more than doubles the battery life of the iPhone 6 6S Protective design features: raised lip to protect the screen ...,165223,,iPhone 6/6S Battery Case - Double Battery Life - 3 Colors,$19.99,,$99,https://www.livingsocial.com/products/us/tag/electronics/165223-iphone-6-6s-battery-case-double-battery-life-3-colors?pos=769
770,"100% essential oils. Five-pack of 1 fl. oz. bottles. Can use in a diffuser. Dilute with a carrier oil, such as olive, almond, jojoba, or grape-seed...",165089,,NOW Foods Essential Oils Variety Pack (5-Pack),$29.99,,$100,https://www.livingsocial.com/products/us/tag/home-goods/165089-now-foods-essential-oils-variety-pack-5-pack?pos=770
771,"
Faux silk curtain panels
Chenille embroidered stripe pattern
Machine wash cold. Line dry
2.5” diameter metal grommets for easy hanging
100% polyes...",169926,,2-Piece Set: Embroided Cityscape Grommet Curtains,$29.99,,$129.99,https://www.livingsocial.com/products/us/tag/home-goods/169926-2-piece-set-embroided-cityscape-grommet-curtains?pos=771
772,"Solar jar can store the solar energy from sunshine and light up automatically at night, Just expose it under the sunshine.


Use solar energy from ...",169906,,Solar Jar - Solar Powered LED Lantern,$29.99,,$59.99,https://www.livingsocial.com/products/us/tag/home-goods/169906-solar-jar-solar-powered-led-lantern?pos=772
773,"Our tees are printed on our super soft ringspun tees.  Exclusively designed at Crazy Dog T-shirts.  You'll love the fit and feel of our tees.
",169920,,World's Okayest Dad Crazy Kids T-Shirt,$13.99,,$24.99,https://www.livingsocial.com/products/us/tag/fashion/169920-world-s-okayest-dad-crazy-kids-t-shirt?pos=773
774,Mizu Ultrasonic Aroma Diffuser / Humidifier is a elegant and stylish. Simply fill up the container with water and add a few drops of your favorite ...,169896,,Mizu Ultrasonic Aroma Diffuser/Humidifier With Free Essential Oil,$59.99,,$199.99,https://www.livingsocial.com/products/us/tag/home-goods/169896-mizu-ultrasonic-aroma-diffuser-humidifier-with-free-essential-oil?pos=774
775,This ultrasonic therapeutic aroma diffuser can transform ordinary filtered water and a few drops of your favorite essential oil into a fragrant amb...,169890,,Ultrasonic Aroma Diffuser With Free Essential Oil,$48.99,,$179.99,https://www.livingsocial.com/products/us/tag/home-goods/169890-ultrasonic-aroma-diffuser-with-free-essential-oil?pos=775
776,"
Durable &amp; lightweight
Helps keep your car tidy and clean
Easy to install and remove
Wear resistant, cold-resistant and anti-aging
Perfect for ...",169876,,Car Vent Pocket Organizer for Storage - Assorted Colors,$9.99,,$19.98,https://www.livingsocial.com/products/us/tag/home-goods/169876-car-vent-pocket-organizer-for-storage-assorted-colors?pos=776
777,"
Compatible with Apple® iPhone® and iPod® As well as most MP3 players and other mobile devices for wide-ranging use
Adjustable grid! Clicks your de...",120330,,Universal Bike Mount Phone Holder,$9.99,,$50,https://www.livingsocial.com/products/us/tag/electronics/120330-universal-bike-mount-phone-holder?pos=777
778,These beautiful stud earrings feature a Naked 2.0 Carat Round Swarovski Element Diamond Solitaire surrounded by a high polished curved silver swirl...,118506,,Hugging Swarovski Element Diamond Stud Earrings,$17.99,,$149,https://www.livingsocial.com/products/us/tag/fashion/118506-hugging-swarovski-element-diamond-stud-earrings?pos=778
779,"
Good Vibes - Decorative pillow with Embroidered Good Vibes motif. A unique and fashion forward  novelty accent piece to spice up your home's decor...",169986,,Swift Home Embroidered Cotton Decorative Pillows,$24.99,,$69.98,https://www.livingsocial.com/products/us/tag/home-goods/169986-swift-home-embroidered-cotton-decorative-pillows?pos=779
780,"
Durable &amp; lightweight
Helps keep your car tidy and clean
Easy to install and remove
Wear resistant, cold-resistant and anti-aging
Perfect for ...",169876,,Car Vent Pocket Organizer for Storage - Assorted Colors,$9.99,,$19.98,https://www.livingsocial.com/products/us/tag/home-goods/169876-car-vent-pocket-organizer-for-storage-assorted-colors?pos=780
781,"My guns are so big, they're just like, out there.  They are so big they popped the sleeves right off my shirt.  It's time to get your flex on and p...",114738,,I Flexed and the Sleeves Fell Off Tank Top,$13.99,,$30,https://www.livingsocial.com/products/us/tag/fashion/114738-i-flexed-and-the-sleeves-fell-off-tank-top?pos=781
782,"Featuring 17 round cut AAA CZ stones in a dazzling 18K white gold setting, this ring is the perfect commemorative gift. The center stone measures j...",169992,,18K White Gold Plated 8.00 CTW Eternity Ring,$14.99,,$114.99,https://www.livingsocial.com/products/us/tag/fashion/169992-18k-white-gold-plated-8-00-ctw-eternity-ring?pos=782
783,"
Universal case design provides waterproof protection for phones, keys, ID, credit cards, cash, MP3 players and more.
The 6.1"" diagonal option is c...",169978,,Universal Waterproof Smartphone Dry Bag Pouch - 2 Sizes,$4.99,,$54.99,https://www.livingsocial.com/products/us/tag/electronics/169978-universal-waterproof-smartphone-dry-bag-pouch-2-sizes?pos=783
784,"After a long day, relax and enjoy the comfort of a water massage with the Home Collections 3 Function Shower Massager.  With 3 different settings y...",169972,,Home Collections 3 Function Shower Massager,$29.99,,$49.99,https://www.livingsocial.com/products/us/tag/home-goods/169972-home-collections-3-function-shower-massager?pos=784
785,"Pintucking gives this overstuffed comforter a look of luxury, while its reverse side features an inviting floral print


Queen: one comforter (90”x...",169958,,5-Piece Essana Reversible Pintucked Comforter Set,$97.99,,$249.99,https://www.livingsocial.com/products/us/tag/home-goods/169958-5-piece-essana-reversible-pintucked-comforter-set?pos=785
786,"
Necklace can be adjusted from 16 inches to 20 inches.
14 kt White Gold Plated necklace.
It comes in a Gift Box.

",120522,,14K White Gold Plated Tree & Bird Necklace,$13.99,,$89,https://www.livingsocial.com/products/us/tag/fashion/120522-14k-white-gold-plated-tree-bird-necklace?pos=786
787,"
Bohemian Charm. The fun and carefree design of this charm bracelet watch is very endearing.
This antique face watch with quartz movement comes in ...",117348,,Bohemian Charm Fashion Bracelet Watch - 6 colors,$9.99,,$50,https://www.livingsocial.com/products/us/tag/fashion/117348-bohemian-charm-fashion-bracelet-watch-6-colors?pos=787
788,"The Bright Therapy Trident gives you 3 LED light therapy treatments in one device.

The hand held LED cluster employs super bright, high-power LED ...",111502,,"Trident LED Light Therapy System for Acne, Wrinkles, & Hyperpigmentation",$99.99,,$250,https://www.livingsocial.com/products/us/tag/beauty/111502-trident-led-light-therapy-system-for-acne-wrinkles-hyperpigmentation?pos=788
789,"With this Portable Bluetooth Speaker, you can maximize the musical potential of your mobile device! Utilizing Bluetooth v2 +EDR class 2 for seamles...",169888,,Portable Bluetooth Stereo Speaker - Assorted Colors,$14.99,,$99.99,https://www.livingsocial.com/products/us/tag/electronics/169888-portable-bluetooth-stereo-speaker-assorted-colors?pos=789
790,"The Slim Giant is a powerful solar power bank that will extend the life of your cellphones, tablet and other gadgets.

It has a huge 12,000 mAh bat...",168902,,Slim Giant Solar Charger with Dual USB Ports,$19.99,,$99.95,https://www.livingsocial.com/products/us/tag/electronics/168902-slim-giant-solar-charger-with-dual-usb-ports?pos=790
791,This down alternative comforter is light weight yet ultra-warm; providing comfort for a restful night’s sleep.  Boxed stitching prevents shifting o...,168632,,Ultra-Blush Down Alternative Single Comforter,$34.99,,$169,https://www.livingsocial.com/products/us/tag/home-goods/168632-ultra-blush-down-alternative-single-comforter?pos=791
792,"Blemishes, black heads, big pimples, oh my! You've got a slew of skin problems, which is so not uncommon! Like millions of other people, you're jus...",167758,,4-Pack: Clarisonic Compatible Replacement Facial Brushes,$9.99,,$30,https://www.livingsocial.com/products/us/tag/beauty/167758-4-pack-clarisonic-compatible-replacement-facial-brushes?pos=792
793,This stunning 18K Gold Classic Diamond Drop Necklace is for ladies that like their accessories to sparkle. Wear it everyday as your staple accessor...,167022,,18K Solid White Gold Drop Necklace with Swarovski Elements,$11.99,,$119.99,https://www.livingsocial.com/products/us/tag/fashion/167022-18k-solid-white-gold-drop-necklace-with-swarovski-elements?pos=793
794,"Ideal for clothes that cling to the body, this waist clincher gives a pleasing slimming effect, supports posture and disappears under clothes.


Pr...",165918,,Celebrity Waist Trainer Corset - 4 Colors,$19.99,,$59.99,https://www.livingsocial.com/products/us/tag/fashion/165918-celebrity-waist-trainer-corset-4-colors?pos=794
795,This Home Collection 4-Piece sheet set by iEnjoy Home is designed with your comfort in mind.  Made of the finest imported double-brushed microfiber...,160405,,Luxury Double-Brushed 4 Piece Bed Sheet Set - 12 Colors,$29.99,,$79.98,https://www.livingsocial.com/products/us/tag/home-goods/160405-luxury-double-brushed-4-piece-bed-sheet-set-12-colors?pos=795
796,"This designer-inspired solid gold ring is the perfect accent. Thanks to gold's malleability, the ring can be easily resized by hand to fit finger s...",169152,,18k Gold Teardrop Ring - 3 Styles,$14.99,,$124.99,https://www.livingsocial.com/products/us/tag/fashion/169152-18k-gold-teardrop-ring-3-styles?pos=796
797,"Heighten the drama of your elegant living with these Blackout Energy-Saving Window Panel Curtains. Their blackout feature include noise reduction, ...",159805,,Blackout Energy-Saving Curtain Panels - Set of 2 - 7 Colors,$24.99,,$150,https://www.livingsocial.com/products/us/tag/home-goods/159805-blackout-energy-saving-curtain-panels-set-of-2-7-colors?pos=797
798,"These 14K gold stud earrings have all the sparkle you need without the fuss and hassle you don't. With a gorgeous, smooth round base, you'll always...",160515,,Solid 14K Gold Ball Stud Earrings,$12.99,,$149.99,https://www.livingsocial.com/products/us/tag/fashion/160515-solid-14k-gold-ball-stud-earrings?pos=798
799,The Home Collection Embossed 4-Piece sheet set by iEnjoy Home is designed with your comfort in mind.  Add a designer accent to your bedroom decor w...,160445,,Embossed Chevron Design 4 Piece Bed Sheet Set - 6 Colors,$29.99,,$89.99,https://www.livingsocial.com/products/us/tag/home-goods/160445-embossed-chevron-design-4-piece-bed-sheet-set-6-colors?pos=799
800,Portable Charger for your Smart Gadgets with 2 USB high speed ports. The charger can work from a wall outlet or from a car  cigarette lighter outle...,122872,,2-in-1 USB Car & Wall Charger - All Devices,$13.99,,$50,https://www.livingsocial.com/products/us/tag/electronics/122872-2-in-1-usb-car-wall-charger-all-devices?pos=800
801,"Take control of your health! Record your steps, distance walked, calories burned, and more with the lightweight Fitness Tracker Bracelet. Using Blu...",168748,,Upgraded Bluetooth Fitness Tracker Bracelet,$19.99,,$129.99,https://www.livingsocial.com/products/us/tag/health/168748-upgraded-bluetooth-fitness-tracker-bracelet?pos=801
802,"Wireless Bluetooth Stereo Headphones

Features:


Bluetooth  4.1 technology
With CSR4.1 APT-X audio decode Technology
Sweat proof design
 Built in ...",169088,,Bluetooth Wireless Sports Headset - 4 Colors,$19.99,,$89.95,https://www.livingsocial.com/products/us/tag/electronics/169088-bluetooth-wireless-sports-headset-4-colors?pos=802
803,Now have fun taking pictures with your smart phone with the help of 3 camera lenses that quickly attache to your smartphone with adjustable clip th...,117508,,3-in-1 Clip on Smartphone Camera Lens,$12.99,,$75,https://www.livingsocial.com/products/us/tag/electronics/117508-3-in-1-clip-on-smartphone-camera-lens?pos=803
804,"
Copper compression socks help relieve pain while improving performance and recovery from muscle stiffness and soreness, wicks away sweat and provi...",169802,,Copper Infused Anti-Fatigue Compression Socks (5 Pack),$14.99,,$69.98,https://www.livingsocial.com/products/us/tag/fashion/169802-copper-infused-anti-fatigue-compression-socks-5-pack?pos=804
805,"This high-quality titanium band is crafted for men and women and features a comfortable fit and mirrored finish.


Band width: 0.40”
Weight: 3.0 gr...",169772,,Unisex Titanium Band,$6.99,,$99.99,https://www.livingsocial.com/products/us/tag/fashion/169772-unisex-titanium-band?pos=805
806,"Gemini Twin Bracelets: Look closely and you can tell them apart. The antique finish silver and bronze tube beads, artistically woven through genuin...",169648,,Gemini Twin Bracelets in Genuine Leather and Antique Metal Finish,$9.99,,$49.95,https://www.livingsocial.com/products/us/tag/fashion/169648-gemini-twin-bracelets-in-genuine-leather-and-antique-metal-finish?pos=806
807,"The nice genuine leather braided bracelet with metal beads has your fun and free-spirited vibe.

DETAILS:


4 genuine leather strings are brought t...",169688,,Bingo Bracelet In Genuine Leather,$11.99,,$69.95,https://www.livingsocial.com/products/us/tag/fashion/169688-bingo-bracelet-in-genuine-leather?pos=807
808,"This nicely braided Genuine Leather bracelet in Black is classic and earthy all at the same time. Finished with a magnetic snap clasp.

DETAILS:


...",169668,,Vergo Versatile Genuine Leather Bracelet With Magnetic Closure,$9.99,,$39.95,https://www.livingsocial.com/products/us/tag/fashion/169668-vergo-versatile-genuine-leather-bracelet-with-magnetic-closure?pos=808
